day_index,sand_storm_flag,ambient_temperature_c,humidity_percent,vibration_rms_mm_s,discharge_temperature_c,discharge_pressure_bar,suction_pressure_bar,flow_rate_m3_min,bearing_oil_pressure_bar,bearing_oil_temperature_c,casing_temperature_c,dp_filter_bar,high_dp_alarm,failure,TTF_days,maintenance_oil_change,days_since_oil_change,health_state
1212,0,19.93,40.6,2.056,83.87,7.984,0.995,99.28,3.288,63.4,55.63,0.05,0,0,320.0,0,131,normal
1213,0,18.87,48.4,1.924,86.95,7.946,1.003,100.9,3.258,63.91,54.12,0.05,0,0,319.0,0,132,normal
1214,0,22.57,56.7,1.99,86.46,7.988,1.004,99.01,3.243,63.41,55.27,0.05,0,0,318.0,0,133,normal
1215,0,24.41,52.7,2.005,87.43,8.048,0.991,99.69,3.244,64.28,56.22,0.05,0,0,317.0,0,134,normal
1216,0,22.48,54.8,1.953,86.12,7.997,1.0,102.22,3.26,65.32,55.03,0.05,0,0,316.0,0,135,normal
1217,0,26.78,49.1,2.064,87.84,7.975,1.001,99.92,3.223,65.05,54.61,0.05,0,0,315.0,0,136,normal
1218,0,21.9,43.9,2.001,85.65,7.993,0.994,100.41,3.182,64.62,53.38,0.05,0,0,314.0,0,137,normal
1219,0,14.53,49.2,2.055,82.35,8.068,1.002,101.58,3.297,63.45,55.73,0.05,0,0,313.0,0,138,normal
1220,0,23.98,45.0,1.993,85.61,8.029,1.008,98.85,3.16,63.57,55.89,0.05,0,0,312.0,0,139,normal
1221,0,21.98,36.8,2.041,86.26,8.061,0.988,100.18,3.244,65.55,55.31,0.05,0,0,311.0,0,140,normal
1222,0,19.52,49.4,1.982,85.02,8.022,1.011,98.95,3.189,63.71,54.58,0.05,0,0,310.0,0,141,normal
1223,0,24.41,51.6,1.972,86.6,8.008,0.994,98.65,3.177,64.2,55.22,0.05,0,0,309.0,0,142,normal
1224,0,23.68,51.2,2.063,87.56,7.982,1.015,99.64,3.181,64.7,54.58,0.05,0,0,308.0,0,143,normal
1225,0,22.16,36.5,2.028,134.45,7.971,0.988,100.61,3.185,65.57,55.72,0.05,0,0,307.0,0,144,normal
1226,0,19.26,36.5,1.938,86.29,8.016,1.001,99.45,3.246,64.03,55.71,0.05,0,0,306.0,0,145,normal
1227,0,27.29,39.8,2.058,88.0,7.992,1.008,99.64,3.158,64.2,55.06,0.05,0,0,305.0,0,146,normal
1228,0,26.58,46.7,2.01,88.42,8.046,1.014,100.29,3.263,64.54,54.41,0.05,0,0,304.0,0,147,normal
1229,0,19.65,42.7,2.001,84.72,8.003,0.996,101.03,3.217,64.98,55.54,0.05,0,0,303.0,0,148,normal
1230,0,27.06,38.1,1.929,88.25,7.971,1.019,100.02,3.222,64.68,54.06,0.05,0,0,302.0,0,149,normal
1231,0,21.33,50.2,1.943,85.57,8.052,1.01,99.91,3.239,65.21,55.17,0.05,0,0,301.0,0,150,normal
1232,0,22.86,52.2,2.022,86.17,7.946,1.011,99.94,3.152,65.0,54.75,0.05,0,0,300.0,0,151,normal
1233,0,23.74,53.5,2.02,86.64,8.035,1.002,101.51,3.137,64.47,54.48,0.05,0,0,299.0,0,152,normal
1234,0,26.2,36.9,2.08,87.41,7.951,0.986,99.71,3.193,63.86,54.44,0.05,0,0,298.0,0,153,normal
1235,0,23.75,47.0,2.008,86.0,7.946,0.976,99.08,3.186,64.7,53.58,0.05,0,0,297.0,0,154,normal
1236,0,27.26,46.2,2.104,87.33,7.934,0.997,100.08,3.174,64.57,56.22,0.05,0,0,296.0,0,155,normal
1237,0,21.72,40.2,2.016,86.76,7.974,1.003,97.19,3.198,65.0,55.5,0.05,0,0,295.0,0,156,normal
1238,0,21.48,46.2,2.017,85.02,8.034,0.989,99.69,3.182,65.82,55.69,0.05,0,0,294.0,0,157,normal
1239,0,24.19,51.7,2.069,86.97,7.981,1.02,100.94,3.198,64.89,53.75,0.05,0,0,293.0,0,158,normal
1240,0,19.91,46.1,2.011,83.91,7.978,1.01,100.11,3.22,64.04,55.98,0.05,0,0,292.0,0,159,normal
1241,0,27.78,44.3,1.885,88.24,8.016,1.001,99.57,3.191,64.96,54.87,0.05,0,0,291.0,0,160,normal
1242,0,23.35,53.0,1.907,86.54,8.017,1.018,99.44,3.164,65.75,54.62,0.05,0,0,290.0,0,161,normal
1243,0,27.7,36.4,2.031,91.21,8.023,1.01,100.2,3.189,64.5,53.75,0.05,0,0,289.0,0,162,normal
1244,0,22.97,54.9,1.952,85.5,8.031,0.984,99.98,3.17,63.76,55.17,0.05,0,0,288.0,0,163,normal
1245,0,22.7,38.2,1.992,84.68,7.947,0.983,100.34,3.157,64.99,54.69,0.05,0,0,287.0,0,164,normal
1246,0,31.74,43.6,1.981,92.24,7.916,0.995,101.35,3.144,64.83,55.04,0.05,0,0,286.0,0,165,normal
1247,0,31.83,49.7,2.011,91.48,8.04,1.004,100.43,3.199,65.73,55.08,0.05,0,0,285.0,0,166,normal
1248,0,27.87,30.5,2.012,89.72,7.968,0.988,99.96,3.196,65.43,54.8,0.05,0,0,284.0,0,167,normal
1249,0,28.18,48.3,1.962,89.03,7.999,0.994,100.28,3.143,65.35,55.83,0.05,0,0,283.0,0,168,normal
1250,0,23.89,40.7,2.051,86.6,7.966,1.002,99.49,3.177,65.71,54.38,0.05,0,0,282.0,0,169,normal
1251,0,32.35,35.7,2.038,91.31,8.054,0.996,101.11,3.157,64.8,54.76,0.05,0,0,281.0,0,170,normal
1252,0,34.45,34.8,1.954,92.48,7.916,1.001,100.9,3.13,64.05,54.24,0.05,0,0,280.0,0,171,normal
1253,0,26.36,42.2,2.004,88.44,7.903,1.005,102.59,3.167,63.56,55.82,0.05,0,0,279.0,0,172,normal
1254,0,26.02,43.6,2.022,89.71,8.017,1.002,101.85,3.181,65.58,54.09,0.05,0,0,278.0,0,173,normal
1255,0,29.45,33.4,2.052,90.66,7.98,1.008,99.72,3.158,63.64,54.65,0.05,0,0,277.0,0,174,normal
1256,0,31.84,49.6,1.935,92.34,8.03,1.011,98.51,3.172,65.0,55.13,0.05,0,0,276.0,0,175,normal
1257,0,25.66,32.6,1.956,86.49,8.005,0.99,99.56,3.074,65.43,55.69,0.05,0,0,275.0,0,176,normal
1258,0,24.32,38.2,2.03,85.84,8.064,0.981,99.2,3.198,64.47,55.29,0.05,0,0,274.0,0,177,normal
1259,0,25.92,44.4,1.888,88.98,7.948,0.987,101.89,3.145,65.0,56.14,0.05,0,0,273.0,0,178,normal
1260,0,30.96,40.5,2.053,90.27,7.965,1.023,100.36,3.1,65.62,55.6,0.05,0,0,272.0,0,179,normal
1261,0,26.86,47.7,2.001,87.86,8.046,1.006,100.33,3.514,59.87,55.11,0.05,0,0,271.0,1,0,normal
1262,0,25.23,38.1,2.039,88.12,8.025,1.005,98.34,3.553,59.31,55.48,0.05,0,0,270.0,0,1,normal
1263,0,31.87,31.5,2.066,91.59,7.965,0.996,100.5,3.444,59.51,53.63,0.05,0,0,269.0,0,2,normal
1264,0,26.47,35.2,2.085,87.73,8.001,1.018,99.5,3.47,59.98,54.29,0.05,0,0,268.0,0,3,normal
1265,0,30.05,31.0,1.937,88.22,8.027,1.008,100.67,3.461,60.56,55.14,0.05,0,0,267.0,0,4,normal
1266,0,24.37,30.9,1.961,86.81,8.029,0.983,100.86,3.515,59.35,54.56,0.05,0,0,266.0,0,5,normal
1267,0,26.73,44.4,2.021,89.38,8.004,0.998,99.02,3.543,60.49,55.22,0.05,0,0,265.0,0,6,normal
1268,0,22.64,42.4,1.969,84.36,8.018,1.007,101.09,3.474,59.63,55.31,0.05,0,0,264.0,0,7,normal
1269,0,28.71,47.2,1.987,90.06,8.112,0.999,98.24,3.475,60.42,54.39,0.05,0,0,263.0,0,8,normal
1270,0,25.83,40.3,1.879,89.79,7.981,0.991,100.16,3.493,60.33,54.43,0.05,0,0,262.0,0,9,normal
1271,0,27.94,41.9,2.082,88.44,8.016,1.003,101.05,3.461,60.51,55.27,0.05,0,0,261.0,0,10,normal
1272,0,28.77,33.4,2.078,89.28,8.014,1.016,99.42,3.485,60.22,54.87,0.05,0,0,260.0,0,11,normal
1273,0,31.54,45.5,2.024,90.53,8.064,0.989,100.27,3.428,60.18,54.8,0.05,0,0,259.0,0,12,normal
1274,0,30.03,44.2,2.055,89.62,8.049,0.99,100.19,3.494,60.88,55.23,0.05,0,0,258.0,0,13,normal
1275,0,30.34,32.2,1.999,89.47,7.925,1.003,100.56,3.474,59.53,55.11,0.05,0,0,257.0,0,14,normal
1276,1,36.64,50.0,2.015,94.4,7.952,0.99,96.73,3.409,60.84,55.98,0.081,0,0,256.0,0,15,normal
1277,0,35.42,48.4,2.081,92.53,7.986,1.011,98.18,3.438,60.92,54.25,0.05,0,0,255.0,0,16,normal
1278,1,35.06,53.2,1.996,94.65,8.039,0.983,96.71,3.488,61.15,55.15,0.074,0,0,254.0,0,17,normal
1279,1,30.81,35.3,2.2,93.9,8.087,0.981,98.8,3.407,61.67,55.37,0.089,0,0,253.0,0,18,normal
1280,0,36.33,46.3,1.971,92.6,8.018,1.01,99.67,3.421,61.24,55.37,0.05,0,0,252.0,0,19,normal
1281,0,30.95,44.5,2.065,90.12,8.072,0.989,100.47,3.443,59.92,55.13,0.05,0,0,251.0,0,20,normal
1282,0,35.93,42.2,1.969,91.65,7.932,0.999,101.55,3.424,61.14,55.95,0.05,0,0,250.0,0,21,normal
1283,0,36.93,35.2,2.06,92.53,7.992,0.984,100.48,3.433,61.03,54.09,0.05,0,0,249.0,0,22,normal
1284,0,37.65,45.9,2.127,93.87,8.044,1.016,99.99,3.426,61.11,54.54,0.05,0,0,248.0,0,23,normal
1285,0,30.55,50.7,2.03,88.38,8.008,0.988,99.1,3.479,61.05,54.56,0.05,0,0,247.0,0,24,normal
1286,0,37.38,43.7,2.06,94.14,8.031,0.985,99.33,3.453,59.95,55.11,0.05,0,0,246.0,0,25,normal
1287,0,33.66,51.2,1.999,90.46,8.007,1.0,98.76,3.41,59.92,54.79,0.05,0,0,245.0,0,26,normal
1288,0,35.77,50.7,1.98,93.67,7.98,0.999,101.76,3.393,60.86,54.45,0.05,0,0,244.0,0,27,normal
1289,0,35.03,54.1,1.948,93.39,8.037,0.989,99.53,3.431,60.25,55.36,0.05,0,0,243.0,0,28,normal
1290,0,33.42,45.3,2.012,93.42,7.956,1.004,98.16,3.443,60.86,56.08,0.05,0,0,242.0,0,29,normal
1291,0,32.26,35.2,2.039,91.23,7.982,0.993,100.01,3.43,60.41,54.67,0.05,0,0,241.0,0,30,normal
1292,0,29.54,39.8,1.948,89.12,7.966,0.98,102.13,3.41,61.21,55.66,0.05,0,0,240.0,0,31,normal
1293,0,33.42,41.7,1.967,91.01,7.94,1.001,98.95,3.401,61.3,54.92,0.05,0,0,239.0,0,32,normal
1294,0,31.42,52.8,1.982,89.6,7.946,0.995,100.78,3.465,59.49,55.47,0.05,0,0,238.0,0,33,normal
1295,0,31.83,39.3,2.101,91.83,7.973,1.01,98.44,3.441,60.52,55.41,0.05,0,0,237.0,0,34,normal
1296,0,36.87,48.7,2.031,92.76,8.046,1.016,101.7,3.424,60.7,55.83,0.05,0,0,236.0,0,35,normal
1297,0,33.78,36.3,2.015,93.83,7.932,1.0,100.24,3.417,60.47,54.4,0.05,0,0,235.0,0,36,normal
1298,0,34.19,47.8,2.021,91.33,8.105,1.005,99.55,3.439,61.0,54.61,0.05,0,0,234.0,0,37,normal
1299,1,34.6,44.6,2.197,95.54,7.966,0.978,97.63,3.379,61.54,54.38,0.084,0,0,233.0,0,38,normal
1300,1,34.15,40.9,2.06,93.97,7.908,0.984,97.68,3.465,62.52,53.94,0.089,0,0,232.0,0,39,normal
1301,0,37.68,42.3,2.015,93.33,8.043,0.983,101.51,3.442,62.1,54.54,0.05,0,0,231.0,0,40,normal
1302,0,31.89,43.4,2.023,91.77,8.007,1.011,99.61,3.432,61.88,54.99,0.05,0,0,230.0,0,41,normal
1303,0,34.26,41.6,1.981,93.16,8.021,0.999,101.76,3.424,61.14,55.04,0.05,0,0,229.0,0,42,normal
1304,0,36.36,36.3,2.05,93.09,7.982,1.025,98.82,3.377,60.76,55.49,0.05,0,0,228.0,0,43,normal
1305,0,30.64,37.1,2.014,90.18,7.974,0.995,97.55,3.403,61.03,54.94,0.05,0,0,227.0,0,44,normal
1306,0,35.47,48.4,1.986,91.96,8.01,1.001,99.14,3.368,61.2,55.69,0.05,0,0,226.0,0,45,normal
1307,0,37.93,49.7,2.097,94.17,8.013,1.011,100.64,3.419,61.28,55.34,0.05,0,0,225.0,0,46,normal
1308,1,41.86,52.0,2.031,96.37,8.102,1.003,96.9,3.407,63.15,54.84,0.086,0,0,224.0,0,47,normal
1309,0,34.69,52.9,2.123,93.1,7.949,1.012,99.95,3.389,62.05,55.77,0.05,0,0,223.0,0,48,normal
1310,0,39.23,59.2,1.977,94.57,8.01,1.005,99.7,3.443,61.52,54.95,0.05,0,0,222.0,0,49,normal
1311,0,37.02,56.0,2.066,94.01,8.026,0.986,98.01,3.409,61.92,54.32,0.05,0,0,221.0,0,50,normal
1312,0,40.02,47.5,2.006,95.89,8.004,1.012,102.19,3.395,62.39,55.94,0.05,0,0,220.0,0,51,normal
1313,0,39.13,50.1,2.022,94.72,8.035,0.993,103.69,3.401,61.0,55.11,0.05,0,0,219.0,0,52,normal
1314,0,34.13,55.8,1.949,90.64,7.954,0.992,100.07,3.385,61.12,55.13,0.05,0,0,218.0,0,53,normal
1315,0,35.49,53.3,2.066,91.36,7.994,1.014,101.82,3.375,60.42,54.92,0.05,0,0,217.0,0,54,normal
1316,0,34.08,45.8,2.014,93.66,7.885,1.008,100.26,3.393,60.72,54.19,0.05,0,0,216.0,0,55,normal
1317,0,39.67,44.9,1.938,94.26,8.009,0.999,99.37,3.381,62.67,55.66,0.05,0,0,215.0,0,56,normal
1318,0,35.51,42.2,1.933,95.15,8.016,1.006,100.46,3.394,62.1,55.02,0.05,0,0,214.0,0,57,normal
1319,0,42.12,53.0,1.95,96.46,7.876,0.989,101.22,3.372,61.39,54.64,0.05,0,0,213.0,0,58,normal
1320,1,38.72,42.9,2.087,96.47,7.932,0.981,94.87,3.37,63.31,55.45,0.072,0,0,212.0,0,59,normal
1321,0,38.27,40.7,2.069,94.85,7.984,1.02,99.8,3.366,62.15,55.45,0.05,0,0,211.0,0,60,normal
1322,0,34.46,53.0,1.93,93.6,7.98,1.005,98.07,3.371,61.22,54.69,0.05,0,0,210.0,0,61,normal
1323,0,39.18,52.0,1.967,94.44,8.078,0.993,99.76,3.296,62.66,55.26,0.05,0,0,209.0,0,62,normal
1324,0,38.59,45.5,1.89,95.1,7.904,1.003,100.09,3.379,62.65,55.31,0.05,0,0,208.0,0,63,normal
1325,1,32.81,45.5,2.029,91.02,8.07,0.996,99.6,3.33,64.54,55.45,0.084,0,0,207.0,0,64,normal
1326,0,37.97,45.8,2.133,93.76,8.028,1.016,100.81,3.315,61.43,55.96,0.05,0,0,206.0,0,65,normal
1327,0,40.91,54.0,2.052,95.38,8.033,1.013,101.68,3.399,63.41,55.91,0.05,0,0,205.0,0,66,normal
1328,1,40.71,48.2,2.099,97.13,8.062,0.992,97.01,3.386,62.94,54.37,0.089,0,0,204.0,0,67,normal
1329,0,33.65,42.8,2.008,90.94,7.955,1.01,100.38,3.338,62.61,55.46,0.05,0,0,203.0,0,68,normal
1330,0,32.37,50.9,2.075,89.88,8.094,0.994,98.88,3.335,62.19,55.36,0.05,0,0,202.0,0,69,normal
1331,0,38.79,40.6,1.936,94.93,7.932,0.997,99.72,3.356,61.28,53.52,0.05,0,0,201.0,0,70,normal
1332,0,37.45,52.3,2.083,93.32,8.02,1.012,100.14,3.355,61.86,54.47,0.05,0,0,200.0,0,71,normal
1333,0,37.65,58.6,2.034,94.03,7.997,0.986,100.58,3.376,62.17,55.3,0.05,0,0,199.0,0,72,normal
1334,0,41.23,47.0,1.977,96.17,7.982,1.008,100.48,3.337,61.65,54.91,0.05,0,0,198.0,0,73,normal
1335,0,38.45,53.2,2.008,96.43,8.018,1.008,99.9,3.314,63.33,55.74,0.05,0,0,197.0,0,74,normal
1336,0,39.03,45.8,2.033,94.28,8.029,0.984,100.65,3.359,62.21,54.56,0.05,0,0,196.0,0,75,normal
1337,0,38.24,65.0,2.031,93.16,7.945,1.001,102.04,3.36,61.42,54.79,0.05,0,0,195.0,0,76,normal
1338,0,41.15,76.8,2.051,95.93,8.025,0.991,99.66,3.33,83.18,53.91,0.05,0,0,194.0,0,77,normal
1339,0,38.32,62.6,1.995,94.69,7.927,0.999,99.82,3.34,62.13,54.5,0.05,0,0,193.0,0,78,normal
1340,0,33.68,78.9,1.877,93.34,7.995,0.988,100.0,3.3,62.66,55.35,0.05,0,0,192.0,0,79,normal
1341,1,42.28,55.9,2.057,97.1,8.037,0.992,98.13,3.348,62.81,54.78,0.085,0,0,191.0,0,80,normal
1342,1,34.29,76.6,2.149,94.43,7.937,0.987,99.07,3.351,63.23,55.7,0.072,0,0,190.0,0,81,normal
1343,0,42.01,76.3,1.935,95.61,8.07,0.987,99.92,3.394,63.05,54.83,0.05,0,0,189.0,0,82,normal
1344,0,40.08,64.1,2.003,96.42,8.069,0.985,99.21,3.298,63.21,54.43,0.05,0,0,188.0,0,83,normal
1345,0,40.76,70.0,1.967,94.5,8.061,1.019,100.17,3.352,61.99,54.7,0.05,0,0,187.0,0,84,normal
1346,0,42.94,65.7,1.986,95.24,8.006,0.985,99.17,3.317,62.87,55.39,0.05,0,0,186.0,0,85,normal
1347,0,39.2,63.4,2.15,93.85,7.886,0.986,99.85,3.294,61.8,54.57,0.05,0,0,185.0,0,86,normal
1348,0,40.07,79.9,2.006,95.3,8.083,1.009,99.41,3.385,62.47,55.41,0.05,0,0,184.0,0,87,normal
1349,0,37.62,69.5,2.016,93.77,8.058,1.007,100.55,3.277,61.23,54.87,0.05,0,0,183.0,0,88,normal
1350,0,39.19,77.1,1.965,93.59,7.994,0.999,99.68,3.284,62.91,55.23,0.05,0,0,182.0,0,89,normal
1351,0,44.03,76.0,1.999,97.31,8.012,0.985,99.64,3.345,62.03,55.09,0.05,0,0,181.0,0,90,normal
1352,0,43.1,65.5,1.936,96.31,8.017,1.017,99.87,3.306,62.77,53.65,0.05,0,0,180.0,0,91,normal
1353,0,44.59,67.8,2.023,97.68,8.046,1.004,99.15,3.371,63.8,55.41,0.05,0,0,179.0,0,92,normal
1354,0,39.92,71.1,1.961,95.75,8.095,0.991,98.27,3.312,63.55,54.83,0.05,0,0,178.0,0,93,normal
1355,0,41.48,58.1,1.931,96.59,8.042,1.005,100.3,3.331,63.2,54.6,0.05,0,0,177.0,0,94,normal
1356,0,37.91,57.5,2.098,93.21,7.981,1.001,100.53,3.372,63.63,54.99,0.05,0,0,176.0,0,95,normal
1357,0,36.8,64.7,1.945,92.96,7.956,0.996,100.42,3.339,62.52,54.65,0.05,0,0,175.0,0,96,normal
1358,0,38.04,70.3,2.078,92.32,8.046,0.987,98.81,3.349,65.11,55.22,0.05,0,0,174.0,0,97,normal
1359,0,34.3,65.5,2.062,90.96,8.026,1.024,99.52,3.324,63.78,54.53,0.05,0,0,173.0,0,98,normal
1360,0,41.3,61.4,2.079,96.13,7.995,0.992,100.01,3.285,62.09,55.19,0.05,0,0,172.0,0,99,normal
1361,0,37.04,68.0,1.955,92.42,7.991,1.003,99.47,3.282,63.86,55.45,0.05,0,0,171.0,0,100,normal
1362,0,38.28,69.6,2.016,95.08,8.004,1.002,100.69,3.352,63.17,55.71,0.05,0,0,170.0,0,101,normal
1363,0,45.66,65.0,1.941,98.47,8.022,0.993,100.13,3.324,63.08,54.91,0.05,0,0,169.0,0,102,normal
1364,0,40.42,58.2,2.012,96.57,7.97,0.991,99.62,3.296,63.29,55.68,0.05,0,0,168.0,0,103,normal
1365,0,42.89,76.3,2.077,98.4,8.07,1.005,99.25,3.279,63.42,54.48,0.05,0,0,167.0,0,104,normal
1366,0,38.52,59.6,1.998,94.43,8.006,1.012,99.25,3.304,61.51,54.1,0.05,0,0,166.0,0,105,normal
1367,0,43.22,73.3,2.019,97.26,8.047,0.999,100.04,3.264,63.91,55.02,0.05,0,0,165.0,0,106,normal
1368,0,36.69,90.6,1.931,92.17,8.03,1.014,98.91,3.298,62.92,54.74,0.05,0,0,164.0,0,107,normal
1369,0,34.66,86.0,2.011,93.09,7.918,0.986,99.24,3.286,63.21,54.58,0.05,0,0,163.0,0,108,normal
1370,0,38.76,74.9,1.989,94.27,7.919,0.997,99.6,3.243,63.0,54.88,0.05,0,0,162.0,0,109,normal
1371,0,37.83,94.6,1.963,94.77,8.016,0.994,99.84,3.3,62.31,54.36,0.05,0,0,161.0,0,110,normal
1372,0,46.21,95.0,1.978,99.0,7.936,0.994,101.11,3.275,62.79,55.06,0.05,0,0,160.0,0,111,normal
1373,0,42.53,82.4,2.01,95.51,7.939,0.997,98.75,3.26,63.87,54.56,0.05,0,0,159.0,0,112,normal
1374,0,37.18,68.9,1.9,93.38,8.01,0.993,100.55,3.282,63.61,55.23,0.05,0,0,158.0,0,113,normal
1375,0,38.81,90.1,1.938,94.37,7.944,0.987,100.61,3.271,62.9,55.48,0.05,0,0,157.0,0,114,normal
1376,0,40.14,66.5,1.991,94.31,7.987,0.988,98.43,3.305,63.28,55.22,0.05,0,0,156.0,0,115,normal
1377,0,41.02,83.9,1.946,95.45,7.972,1.005,99.63,3.217,63.32,54.64,0.05,0,0,155.0,0,116,normal
1378,0,39.19,86.0,1.943,95.57,7.992,1.011,99.55,3.294,64.26,54.24,0.05,0,0,154.0,0,117,normal
1379,0,42.01,74.6,1.965,94.82,7.998,0.995,100.02,3.263,63.62,54.49,0.05,0,0,153.0,0,118,normal
1380,0,36.26,94.5,2.066,92.45,8.005,0.996,100.16,3.241,63.81,54.75,0.05,0,0,152.0,0,119,normal
1381,0,34.06,81.8,1.982,92.39,8.004,1.001,100.21,3.243,64.34,53.26,0.05,0,0,151.0,0,120,normal
1382,0,38.35,85.0,2.018,93.86,7.971,0.992,100.77,3.229,64.22,54.96,0.05,0,0,150.0,0,121,normal
1383,0,36.57,70.9,2.009,94.21,8.059,0.992,100.56,3.225,63.32,55.4,0.05,0,0,149.0,0,122,normal
1384,0,38.36,73.2,2.0,94.27,7.912,0.99,101.07,3.229,64.26,54.91,0.05,0,0,148.0,0,123,normal
1385,0,41.66,80.0,2.029,96.13,8.031,1.0,100.25,3.251,63.55,54.31,0.05,0,0,147.0,0,124,normal
1386,0,40.98,75.0,1.929,96.83,8.083,0.998,99.48,3.209,65.42,55.34,0.05,0,0,146.0,0,125,normal
1387,0,45.42,91.9,2.009,97.41,8.047,1.003,100.11,3.244,64.39,54.82,0.05,0,0,145.0,0,126,normal
1388,0,40.96,66.2,1.956,96.26,8.079,0.98,99.83,3.26,63.23,55.28,0.05,0,0,144.0,0,127,normal
1389,0,38.06,85.1,2.003,94.32,7.961,0.995,99.81,3.233,64.45,56.35,0.05,0,0,143.0,0,128,normal
1390,0,38.02,93.6,1.959,95.1,7.95,0.993,98.8,3.212,65.21,55.01,0.05,0,0,142.0,0,129,normal
1391,0,43.01,72.7,1.977,96.48,8.065,0.998,99.18,3.267,62.78,54.35,0.05,0,0,141.0,0,130,normal
1392,0,43.65,94.5,1.939,98.07,8.02,0.993,98.95,3.226,62.35,54.67,0.05,0,0,140.0,0,131,normal
1393,0,40.54,66.1,1.968,95.53,8.01,1.004,100.18,3.179,63.73,55.3,0.05,0,0,139.0,0,132,normal
1394,0,42.19,78.3,2.011,96.2,7.918,1.01,99.89,3.302,63.67,55.47,0.05,0,0,138.0,0,133,normal
1395,0,42.02,88.4,1.942,96.76,7.981,0.989,99.89,3.204,64.5,54.92,0.05,0,0,137.0,0,134,normal
1396,0,42.22,86.6,1.948,96.41,7.953,1.006,99.49,3.189,63.91,55.43,0.05,0,0,136.0,0,135,normal
1397,0,42.01,92.9,2.011,96.36,7.916,1.006,100.65,3.186,64.44,54.57,0.05,0,0,135.0,0,136,normal
1398,0,37.26,83.5,1.983,94.26,7.986,1.007,99.32,3.232,64.22,55.8,0.05,0,0,134.0,0,137,normal
1399,0,37.5,74.3,1.964,94.27,7.951,0.987,100.73,3.234,64.11,55.02,0.05,0,0,133.0,0,138,normal
1400,0,41.78,58.0,1.903,96.4,7.981,1.015,99.87,3.198,64.51,55.0,0.05,0,0,132.0,0,139,normal
1401,0,44.76,76.4,1.941,95.31,8.076,1.003,101.22,3.267,63.94,54.53,0.05,0,0,131.0,0,140,normal
1402,0,34.09,59.5,2.071,92.11,7.915,0.978,100.24,3.206,65.29,55.39,0.05,0,0,130.0,0,141,normal
1403,0,30.35,64.3,1.996,92.24,7.919,1.005,100.56,3.198,64.61,55.0,0.05,0,0,129.0,0,142,normal
1404,0,34.69,66.3,2.011,93.05,8.012,1.0,99.76,3.262,64.28,55.51,0.05,0,0,128.0,0,143,normal
1405,0,35.22,83.8,1.912,92.44,8.05,1.009,100.05,3.236,64.91,54.58,0.05,0,0,127.0,0,144,normal
1406,0,37.35,84.0,2.039,93.1,8.03,0.996,99.42,3.227,65.17,55.47,0.05,0,0,126.0,0,145,normal
1407,0,39.6,78.7,1.998,95.97,7.958,1.018,99.09,3.221,65.12,54.56,0.05,0,0,125.0,0,146,normal
1408,0,41.49,60.6,1.918,94.86,8.052,1.01,101.41,3.201,65.1,55.17,0.05,0,0,124.0,0,147,normal
1409,0,40.02,74.4,2.08,94.6,7.904,1.014,98.98,3.199,63.83,54.31,0.05,0,0,123.0,0,148,normal
1410,0,32.97,80.0,1.988,91.16,7.959,1.007,98.24,3.177,64.29,54.95,0.05,0,0,122.0,0,149,normal
1411,0,36.72,64.4,2.026,93.56,7.945,0.996,101.68,3.236,63.94,55.1,0.05,0,0,121.0,0,150,normal
1412,0,36.7,61.0,2.011,93.5,8.094,0.988,100.53,3.14,63.68,55.91,0.117,0,0,120.0,0,151,early_warning
1413,0,38.88,62.3,2.027,93.52,7.999,1.018,100.6,3.184,64.59,55.66,0.118,0,0,119.0,0,152,early_warning
1414,0,40.29,83.4,1.995,95.1,7.941,1.009,100.02,3.268,64.36,54.49,0.167,1,0,118.0,0,153,early_warning
1415,0,34.68,69.8,1.963,91.99,8.109,0.98,100.44,3.16,63.6,54.55,0.113,0,0,117.0,0,154,early_warning
1416,0,38.81,84.4,2.022,93.65,8.0,1.005,100.31,3.165,64.34,55.31,0.131,0,0,116.0,0,155,early_warning
1417,0,40.59,55.4,1.927,94.22,7.978,0.993,100.97,3.196,65.04,55.57,0.115,0,0,115.0,0,156,early_warning
1418,0,39.17,83.4,2.007,93.02,8.046,1.004,100.32,3.173,65.01,54.63,0.151,1,0,114.0,0,157,early_warning
1419,0,35.96,67.1,1.971,92.49,7.927,1.001,100.8,3.23,64.62,56.38,0.105,0,0,113.0,0,158,early_warning
1420,0,35.1,59.0,2.058,92.86,8.03,0.983,100.06,3.134,65.36,55.12,0.135,0,0,112.0,0,159,early_warning
1421,0,37.86,66.8,2.05,94.78,8.038,1.004,99.63,3.104,64.33,55.67,0.164,1,0,111.0,0,160,early_warning
1422,0,37.53,74.9,1.966,93.92,8.075,1.016,100.7,3.152,64.89,55.93,0.153,1,0,110.0,0,161,early_warning
1423,0,38.46,56.0,1.998,94.86,7.972,1.008,101.04,3.15,64.17,55.31,0.106,0,0,109.0,0,162,early_warning
1424,0,38.97,64.0,2.027,94.64,8.025,1.004,100.7,3.203,64.11,54.78,0.108,0,0,108.0,0,163,early_warning
1425,0,35.94,59.6,1.917,92.39,8.039,0.989,99.72,3.154,65.77,54.89,0.112,0,0,107.0,0,164,early_warning
1426,0,35.91,81.4,1.985,94.46,8.001,0.996,99.88,3.193,65.94,55.25,0.157,1,0,106.0,0,165,early_warning
